candidate_id,rank,predicted_tg_degC,batch_id,pipeline_status,source_state
P-204,1,416.72078,B042,SUCCESS,CURRENT_B042
P-191,2,372.083586,B042,SUCCESS,CURRENT_B042
P-272,3,371.41616,B042,SUCCESS,CURRENT_B042
P-415,4,371.017119,B042,SUCCESS,CURRENT_B042
P-385,5,370.889253,B042,SUCCESS,CURRENT_B042
P-365,6,370.592921,B042,SUCCESS,CURRENT_B042
P-380,7,370.531808,B042,SUCCESS,CURRENT_B042
P-353,8,370.26771,B042,SUCCESS,CURRENT_B042
P-406,9,369.933318,B042,SUCCESS,CURRENT_B042
P-227,10,369.913886,B042,SUCCESS,CURRENT_B042
P-201,11,368.902448,B042,SUCCESS,CURRENT_B042
P-284,12,357.521234,B042,SUCCESS,CURRENT_B042
P-232,13,357.189252,B042,SUCCESS,CURRENT_B042
P-205,14,357.166209,B042,SUCCESS,CURRENT_B042
P-212,15,356.697436,B042,SUCCESS,CURRENT_B042
P-185,16,356.170256,B042,SUCCESS,CURRENT_B042
P-356,17,355.676089,B042,SUCCESS,CURRENT_B042
P-279,18,355.65635,B042,SUCCESS,CURRENT_B042
P-344,19,355.312753,B042,SUCCESS,CURRENT_B042
P-309,20,355.1863,B042,SUCCESS,CURRENT_B042
P-341,21,355.032746,B042,SUCCESS,CURRENT_B042
P-270,22,354.957084,B042,SUCCESS,CURRENT_B042
P-336,23,354.597631,B042,SUCCESS,CURRENT_B042
P-334,24,353.820807,B042,SUCCESS,CURRENT_B042
P-188,25,353.487651,B042,SUCCESS,CURRENT_B042
P-283,26,353.455709,B042,SUCCESS,CURRENT_B042
P-354,27,353.385577,B042,SUCCESS,CURRENT_B042
P-328,28,353.326373,B042,SUCCESS,CURRENT_B042
P-195,29,353.175077,B042,SUCCESS,CURRENT_B042
P-389,30,353.163463,B042,SUCCESS,CURRENT_B042
P-323,31,352.616484,B042,SUCCESS,CURRENT_B042
P-246,32,352.60736,B042,SUCCESS,CURRENT_B042
P-318,33,352.571241,B042,SUCCESS,CURRENT_B042
P-298,34,352.428464,B042,SUCCESS,CURRENT_B042
P-289,35,351.956342,B042,SUCCESS,CURRENT_B042
P-224,36,351.561397,B042,SUCCESS,CURRENT_B042
P-234,37,351.147317,B042,SUCCESS,CURRENT_B042
P-364,38,351.099033,B042,SUCCESS,CURRENT_B042
P-417,39,350.046535,B042,SUCCESS,CURRENT_B042
P-407,40,349.954574,B042,SUCCESS,CURRENT_B042
P-262,41,349.892615,B042,SUCCESS,CURRENT_B042
P-327,42,349.737464,B042,SUCCESS,CURRENT_B042
P-414,43,349.564031,B042,SUCCESS,CURRENT_B042
P-256,44,349.562746,B042,SUCCESS,CURRENT_B042
P-260,45,349.539275,B042,SUCCESS,CURRENT_B042
P-190,46,349.522843,B042,SUCCESS,CURRENT_B042
P-183,47,349.522012,B042,SUCCESS,CURRENT_B042
P-395,48,348.890659,B042,SUCCESS,CURRENT_B042
P-299,49,348.687262,B042,SUCCESS,CURRENT_B042
P-306,50,348.597775,B042,SUCCESS,CURRENT_B042
P-338,51,348.46405,B042,SUCCESS,CURRENT_B042
P-206,52,348.227319,B042,SUCCESS,CURRENT_B042
P-275,53,348.223567,B042,SUCCESS,CURRENT_B042
P-236,54,347.88832,B042,SUCCESS,CURRENT_B042
P-231,55,347.858215,B042,SUCCESS,CURRENT_B042
P-297,56,347.82537,B042,SUCCESS,CURRENT_B042
P-312,57,347.790166,B042,SUCCESS,CURRENT_B042
P-402,58,347.28526,B042,SUCCESS,CURRENT_B042
P-288,59,347.084872,B042,SUCCESS,CURRENT_B042
P-369,60,347.064551,B042,SUCCESS,CURRENT_B042
P-419,61,346.075583,B042,SUCCESS,CURRENT_B042
P-311,62,345.908296,B042,SUCCESS,CURRENT_B042
P-343,63,345.826983,B042,SUCCESS,CURRENT_B042
P-255,64,345.800138,B042,SUCCESS,CURRENT_B042
P-350,65,345.771514,B042,SUCCESS,CURRENT_B042
P-372,66,345.734446,B042,SUCCESS,CURRENT_B042
P-337,67,345.586654,B042,SUCCESS,CURRENT_B042
P-238,68,344.3561,B042,SUCCESS,CURRENT_B042
P-249,69,303.712532,B042,SUCCESS,CURRENT_B042
P-345,70,303.190317,B042,SUCCESS,CURRENT_B042
P-329,71,303.167322,B042,SUCCESS,CURRENT_B042
P-378,72,303.028689,B042,SUCCESS,CURRENT_B042
P-266,73,302.846693,B042,SUCCESS,CURRENT_B042
P-305,74,302.78885,B042,SUCCESS,CURRENT_B042
P-310,75,302.510974,B042,SUCCESS,CURRENT_B042
P-200,76,302.222508,B042,SUCCESS,CURRENT_B042
P-226,77,302.18288,B042,SUCCESS,CURRENT_B042
P-198,78,302.099454,B042,SUCCESS,CURRENT_B042
P-267,79,301.408461,B042,SUCCESS,CURRENT_B042
P-210,80,301.380316,B042,SUCCESS,CURRENT_B042
P-326,81,301.277741,B042,SUCCESS,CURRENT_B042
P-404,82,301.028893,B042,SUCCESS,CURRENT_B042
P-346,83,300.913806,B042,SUCCESS,CURRENT_B042
P-392,84,300.840591,B042,SUCCESS,CURRENT_B042
P-244,85,300.511141,B042,SUCCESS,CURRENT_B042
P-263,86,300.266584,B042,SUCCESS,CURRENT_B042
P-339,87,299.922482,B042,SUCCESS,CURRENT_B042
P-193,88,299.922016,B042,SUCCESS,CURRENT_B042
P-396,89,299.351647,B042,SUCCESS,CURRENT_B042
P-269,90,298.165761,B042,SUCCESS,CURRENT_B042
P-250,91,297.070033,B042,SUCCESS,CURRENT_B042
P-371,92,285.463928,B042,SUCCESS,CURRENT_B042
P-217,93,284.983285,B042,SUCCESS,CURRENT_B042
P-281,94,284.904747,B042,SUCCESS,CURRENT_B042
P-342,95,284.029625,B042,SUCCESS,CURRENT_B042
P-352,96,283.40584,B042,SUCCESS,CURRENT_B042
P-192,97,283.333152,B042,SUCCESS,CURRENT_B042
P-316,98,283.322923,B042,SUCCESS,CURRENT_B042
P-282,99,283.169741,B042,SUCCESS,CURRENT_B042
P-265,100,282.313231,B042,SUCCESS,CURRENT_B042
P-315,101,281.934659,B042,SUCCESS,CURRENT_B042
P-363,102,281.770349,B042,SUCCESS,CURRENT_B042
P-218,103,281.675891,B042,SUCCESS,CURRENT_B042
P-280,104,281.391735,B042,SUCCESS,CURRENT_B042
P-257,105,281.385212,B042,SUCCESS,CURRENT_B042
P-355,106,281.248648,B042,SUCCESS,CURRENT_B042
P-321,107,280.236324,B042,SUCCESS,CURRENT_B042
P-181,108,280.085516,B042,SUCCESS,CURRENT_B042
P-222,109,280.030444,B042,SUCCESS,CURRENT_B042
P-274,110,279.973535,B042,SUCCESS,CURRENT_B042
P-367,111,279.745398,B042,SUCCESS,CURRENT_B042
P-377,112,277.662227,B042,SUCCESS,CURRENT_B042
P-370,113,258.079374,B042,SUCCESS,CURRENT_B042
P-413,114,257.282337,B042,SUCCESS,CURRENT_B042
P-215,115,256.796644,B042,SUCCESS,CURRENT_B042
P-330,116,256.775857,B042,SUCCESS,CURRENT_B042
P-398,117,256.003547,B042,SUCCESS,CURRENT_B042
P-229,118,255.747468,B042,SUCCESS,CURRENT_B042
P-393,119,255.497588,B042,SUCCESS,CURRENT_B042
P-240,120,254.766399,B042,SUCCESS,CURRENT_B042
P-189,121,254.585483,B042,SUCCESS,CURRENT_B042
P-242,122,254.516096,B042,SUCCESS,CURRENT_B042
P-252,123,254.352872,B042,SUCCESS,CURRENT_B042
P-375,124,254.10609,B042,SUCCESS,CURRENT_B042
P-376,125,254.018916,B042,SUCCESS,CURRENT_B042
P-313,126,253.991028,B042,SUCCESS,CURRENT_B042
P-194,127,253.979136,B042,SUCCESS,CURRENT_B042
P-202,128,253.538375,B042,SUCCESS,CURRENT_B042
P-294,129,253.491598,B042,SUCCESS,CURRENT_B042
P-360,130,250.864491,B042,SUCCESS,CURRENT_B042
P-273,131,207.375016,B042,SUCCESS,CURRENT_B042
P-358,132,205.0323,B042,SUCCESS,CURRENT_B042
P-287,133,204.752332,B042,SUCCESS,CURRENT_B042
P-276,134,204.280642,B042,SUCCESS,CURRENT_B042
P-228,135,204.109789,B042,SUCCESS,CURRENT_B042
P-203,136,204.109494,B042,SUCCESS,CURRENT_B042
P-292,137,203.877356,B042,SUCCESS,CURRENT_B042
P-245,138,203.850121,B042,SUCCESS,CURRENT_B042
P-239,139,203.847651,B042,SUCCESS,CURRENT_B042
P-258,140,203.782364,B042,SUCCESS,CURRENT_B042
P-317,141,203.438468,B042,SUCCESS,CURRENT_B042
P-296,142,203.351371,B042,SUCCESS,CURRENT_B042
P-384,143,203.149565,B042,SUCCESS,CURRENT_B042
P-304,144,203.109741,B042,SUCCESS,CURRENT_B042
P-182,145,203.098794,B042,SUCCESS,CURRENT_B042
P-409,146,202.666452,B042,SUCCESS,CURRENT_B042
P-391,147,202.664752,B042,SUCCESS,CURRENT_B042
P-300,148,202.60889,B042,SUCCESS,CURRENT_B042
P-335,149,202.592031,B042,SUCCESS,CURRENT_B042
P-387,150,202.150324,B042,SUCCESS,CURRENT_B042
P-307,151,202.098422,B042,SUCCESS,CURRENT_B042
P-251,152,202.097702,B042,SUCCESS,CURRENT_B042
P-390,153,202.084094,B042,SUCCESS,CURRENT_B042
P-261,154,201.829678,B042,SUCCESS,CURRENT_B042
P-401,155,201.782185,B042,SUCCESS,CURRENT_B042
P-219,156,201.77785,B042,SUCCESS,CURRENT_B042
P-379,157,201.68652,B042,SUCCESS,CURRENT_B042
P-208,158,201.467565,B042,SUCCESS,CURRENT_B042
P-278,159,201.451641,B042,SUCCESS,CURRENT_B042
P-382,160,201.398609,B042,SUCCESS,CURRENT_B042
P-268,161,201.359796,B042,SUCCESS,CURRENT_B042
P-197,162,201.239779,B042,SUCCESS,CURRENT_B042
P-216,163,201.140521,B042,SUCCESS,CURRENT_B042
P-374,164,200.536408,B042,SUCCESS,CURRENT_B042
P-199,165,200.012098,B042,SUCCESS,CURRENT_B042
P-347,166,199.653539,B042,SUCCESS,CURRENT_B042
P-286,167,198.714414,B042,SUCCESS,CURRENT_B042
P-403,168,150.20826,B042,SUCCESS,CURRENT_B042
P-324,169,149.410587,B042,SUCCESS,CURRENT_B042
P-412,170,148.148618,B042,SUCCESS,CURRENT_B042
P-340,171,148.012693,B042,SUCCESS,CURRENT_B042
P-221,172,147.808528,B042,SUCCESS,CURRENT_B042
P-248,173,147.724372,B042,SUCCESS,CURRENT_B042
P-180,174,146.800992,B041,SUCCESS,CURRENT_B042
P-259,175,146.749148,B042,SUCCESS,CURRENT_B042
P-293,176,146.356552,B042,SUCCESS,CURRENT_B042
P-303,177,146.152208,B042,SUCCESS,CURRENT_B042
P-357,178,146.124118,B042,SUCCESS,CURRENT_B042
P-196,179,146.029907,B042,SUCCESS,CURRENT_B042
P-320,180,145.965245,B042,SUCCESS,CURRENT_B042
P-361,181,145.945857,B042,SUCCESS,CURRENT_B042
P-386,182,145.879064,B042,SUCCESS,CURRENT_B042
P-213,183,145.798682,B042,SUCCESS,CURRENT_B042
P-271,184,145.762217,B042,SUCCESS,CURRENT_B042
P-331,185,145.761706,B042,SUCCESS,CURRENT_B042
P-411,186,145.686516,B042,SUCCESS,CURRENT_B042
P-247,187,145.663148,B042,SUCCESS,CURRENT_B042
P-108,188,145.533479,B041,SUCCESS,CURRENT_B042
P-314,189,145.180388,B042,SUCCESS,CURRENT_B042
P-285,190,145.145567,B042,SUCCESS,CURRENT_B042
P-211,191,145.058986,B042,SUCCESS,CURRENT_B042
P-301,192,144.971652,B042,SUCCESS,CURRENT_B042
P-290,193,144.651564,B042,SUCCESS,CURRENT_B042
