candidate_id,rank,predicted_tg_degC,batch_id,pipeline_status,source_state
P-180,1,146.800992,B041,SUCCESS,TRUSTED_BASELINE
P-303,2,146.152208,B042,SUCCESS,TRUSTED_BASELINE
P-361,3,145.945857,B042,SUCCESS,TRUSTED_BASELINE
P-213,4,145.798682,B042,SUCCESS,TRUSTED_BASELINE
P-331,5,145.761706,B042,SUCCESS,TRUSTED_BASELINE
P-411,6,145.686516,B042,SUCCESS,TRUSTED_BASELINE
P-108,7,145.533479,B041,SUCCESS,TRUSTED_BASELINE
P-285,8,145.145567,B042,SUCCESS,TRUSTED_BASELINE
P-319,9,144.516141,B042,SUCCESS,TRUSTED_BASELINE
P-359,10,144.498933,B042,SUCCESS,TRUSTED_BASELINE
P-408,11,144.444336,B042,SUCCESS,TRUSTED_BASELINE
P-214,12,144.292358,B042,SUCCESS,TRUSTED_BASELINE
P-184,13,144.213433,B042,SUCCESS,TRUSTED_BASELINE
P-243,14,143.88426,B042,SUCCESS,TRUSTED_BASELINE
P-112,15,143.694691,B041,SUCCESS,TRUSTED_BASELINE
P-133,16,143.680936,B041,SUCCESS,TRUSTED_BASELINE
P-173,17,143.580756,B041,SUCCESS,TRUSTED_BASELINE
P-204,18,143.57078,B042,SUCCESS,TRUSTED_BASELINE
P-410,19,143.560803,B042,SUCCESS,TRUSTED_BASELINE
P-405,20,143.535191,B042,SUCCESS,TRUSTED_BASELINE
P-233,21,143.144908,B042,SUCCESS,TRUSTED_BASELINE
P-003,22,142.915248,B040,SUCCESS,TRUSTED_BASELINE
P-104,23,142.830954,B041,SUCCESS,TRUSTED_BASELINE
P-383,24,142.556515,B042,SUCCESS,TRUSTED_BASELINE
P-225,25,142.208199,B042,SUCCESS,TRUSTED_BASELINE
P-302,26,141.966302,B042,SUCCESS,TRUSTED_BASELINE
P-147,27,141.832237,B041,SUCCESS,TRUSTED_BASELINE
P-397,28,141.473517,B042,SUCCESS,TRUSTED_BASELINE
P-394,29,141.355527,B042,SUCCESS,TRUSTED_BASELINE
P-110,30,140.1816,B041,SUCCESS,TRUSTED_BASELINE
P-050,31,140.179452,B040,SUCCESS,TRUSTED_BASELINE
P-006,32,139.580127,B040,SUCCESS,TRUSTED_BASELINE
P-400,33,139.471988,B042,SUCCESS,TRUSTED_BASELINE
P-061,34,139.206002,B040,SUCCESS,TRUSTED_BASELINE
P-325,35,139.016673,B042,SUCCESS,TRUSTED_BASELINE
P-186,36,138.171815,B042,SUCCESS,TRUSTED_BASELINE
P-420,37,137.695089,B042,SUCCESS,TRUSTED_BASELINE
P-111,38,135.330249,B041,SUCCESS,TRUSTED_BASELINE
