sample_id,batch_id,mn_g_mol,mw_g_mol,pdi
P-001,B040,26163.3,48164.2,1.841
P-002,B040,25001.5,58557.3,2.342
P-003,B040,38862.8,90577.6,2.331
P-004,B040,32292.1,67321.3,2.085
P-005,B040,227686.7,434354.6,1.908
P-006,B040,20792.2,35418.5,1.703
P-007,B040,53958.4,99187.7,1.838
P-008,B040,98041.0,216632.5,2.21
P-009,B040,61719.2,132527.9,2.147
P-010,B040,133323.6,209621.7,1.572
P-011,B040,161433.1,320052.1,1.983
P-012,B040,41388.4,87452.9,2.113
P-013,B040,28183.7,66018.6,2.342
P-014,B040,32219.3,72195.4,2.241
P-015,B040,96768.9,190432.2,1.968
P-016,B040,118012.2,228954.0,1.94
P-017,B040,170976.0,408480.1,2.389
P-018,B040,33289.7,70369.3,2.114
P-019,B040,73881.7,123798.2,1.676
P-020,B040,104753.7,175161.3,1.672
P-021,B040,21854.9,34984.3,1.601
P-022,B040,31224.3,55547.7,1.779
P-023,B040,109039.0,254459.6,2.334
P-024,B040,78474.0,118672.0,1.512
P-025,B040,149012.0,299437.8,2.009
P-026,B040,109945.3,180644.9,1.643
P-027,B040,111016.8,260412.1,2.346
P-028,B040,95161.2,180149.4,1.893
P-029,B040,88224.6,147823.2,1.676
P-030,B040,55316.7,95169.3,1.72
P-031,B040,149160.0,355800.0,2.385
P-032,B040,23227.8,39820.0,1.714
P-033,B040,33701.0,74005.0,2.196
P-034,B040,22306.1,38277.6,1.716
P-035,B040,38955.4,72209.1,1.854
P-036,B040,54849.6,126690.6,2.31
P-037,B040,106503.5,213830.2,2.008
P-038,B040,36322.8,72863.4,2.006
P-039,B040,63398.3,142946.4,2.255
P-040,B040,23250.8,44110.4,1.897
P-041,B040,87256.3,203254.2,2.329
P-042,B040,50726.0,86740.9,1.71
P-043,B040,64833.3,128827.1,1.987
P-044,B040,33592.6,60227.0,1.793
P-045,B040,66660.5,116519.6,1.748
P-046,B040,96037.2,160750.8,1.674
P-047,B040,111213.1,184200.6,1.656
P-048,B040,110993.2,170704.0,1.538
P-049,B040,34060.5,72655.1,2.133
P-050,B040,21160.2,32907.3,1.555
P-051,B040,97421.3,168637.7,1.731
P-052,B040,26971.4,45611.4,1.691
P-053,B040,37017.2,86156.5,2.327
P-054,B040,27525.6,64687.5,2.35
P-055,B040,56060.5,133577.0,2.383
P-056,B040,147162.7,267270.3,1.816
P-057,B040,141911.7,227686.8,1.604
P-058,B040,102389.1,161755.8,1.58
P-059,B040,181322.1,333485.2,1.839
P-060,B040,86133.0,180067.0,2.091
P-061,B040,23170.3,40394.2,1.743
P-062,B040,82286.7,174868.5,2.125
P-063,B040,89923.0,213430.9,2.373
P-064,B040,65558.9,104845.0,1.599
P-065,B040,183014.8,321099.5,1.755
P-066,B040,36439.8,77356.4,2.123
P-067,B040,177091.3,386508.4,2.183
P-068,B040,34289.9,81044.9,2.364
P-069,B040,240008.1,464820.0,1.937
P-070,B040,30458.7,48292.4,1.586
P-071,B040,114552.3,245111.7,2.14
P-072,B040,186733.9,422232.9,2.261
P-073,B040,171441.2,331037.3,1.931
P-074,B040,107353.3,223627.9,2.083
P-075,B040,153631.4,270628.6,1.762
P-076,B040,193451.2,426517.7,2.205
P-077,B040,32589.0,72054.1,2.211
P-078,B040,45148.8,86612.0,1.918
P-079,B040,43616.2,103815.8,2.38
P-080,B040,68552.4,137314.7,2.003
P-081,B040,141202.0,326630.4,2.313
P-082,B040,185276.6,294982.0,1.592
P-083,B040,118149.2,254123.9,2.151
P-084,B040,36100.6,62923.5,1.743
P-085,B040,58978.9,104157.8,1.766
P-086,B040,41274.5,63985.0,1.55
P-087,B040,191314.8,346439.0,1.811
P-088,B040,146936.1,345694.0,2.353
P-089,B040,127699.2,270089.8,2.115
P-090,B040,19937.7,43153.9,2.164
P-091,B041,43159.2,103223.0,2.392
P-092,B041,99345.7,219988.5,2.214
P-093,B041,52554.3,119365.1,2.271
P-094,B041,65727.5,102950.0,1.566
P-095,B041,41215.4,98668.6,2.394
P-096,B041,95188.2,142981.3,1.502
P-097,B041,112657.0,240422.7,2.134
P-098,B041,276826.9,447356.1,1.616
P-099,B041,202142.3,460214.9,2.277
P-100,B041,76827.8,141763.2,1.845
P-101,B041,121941.5,198607.0,1.629
P-102,B041,52170.1,122657.3,2.351
P-103,B041,12611.6,30058.8,2.383
P-104,B041,52900.2,111241.9,2.103
P-105,B041,104552.9,190057.8,1.818
P-106,B041,70708.9,150551.5,2.129
P-107,B041,33971.6,76156.0,2.242
P-108,B041,53999.0,100910.8,1.869
P-109,B041,72122.9,160221.8,2.222
P-110,B041,17440.6,38699.9,2.219
P-111,B041,17395.2,41377.9,2.379
P-112,B041,47037.2,72331.9,1.538
P-113,B041,48889.4,89299.9,1.827
P-114,B041,140853.2,276621.3,1.964
P-115,B041,31386.2,48216.3,1.536
P-116,B041,116007.0,189438.0,1.633
P-117,B041,155141.1,245622.2,1.583
P-118,B041,132773.9,240964.3,1.815
P-119,B041,38505.4,76728.8,1.993
P-120,B041,61492.3,116158.8,1.889
P-121,B041,111702.3,236670.2,2.119
P-122,B041,52457.7,97470.4,1.858
P-123,B041,47832.8,90181.2,1.885
P-124,B041,21240.8,41816.5,1.969
P-125,B041,96562.2,197121.1,2.041
P-126,B041,60880.8,127286.2,2.091
P-127,B041,120528.1,280198.8,2.325
P-128,B041,184687.6,338523.8,1.833
P-129,B041,51883.9,123095.8,2.373
P-130,B041,116512.0,211263.8,1.813
P-131,B041,173390.8,272218.6,1.57
P-132,B041,105168.3,178657.3,1.699
P-133,B041,53699.5,118133.9,2.2
P-134,B041,101720.1,185368.3,1.822
P-135,B041,209577.5,476989.4,2.276
P-136,B041,21146.6,33843.2,1.6
P-137,B041,175892.0,269879.3,1.534
P-138,B041,135883.9,273194.0,2.01
P-139,B041,60680.3,111788.9,1.842
P-140,B041,299530.0,588564.0,1.965
P-141,B041,89720.1,160577.2,1.79
P-142,B041,89664.1,186890.5,2.084
P-143,B041,64808.4,151963.9,2.345
P-144,B041,41977.1,82471.1,1.965
P-145,B041,10775.0,20826.3,1.933
