sample_id,log10_mn,pdi,class_code,tg_degC
PLY-0001,4.4177,1.841,5,26.04
PLY-0002,4.398,2.342,5,28.68
PLY-0003,4.5895,2.331,1,142.92
PLY-0004,4.5091,2.085,0,6.29
PLY-0005,5.3573,1.908,5,-69.41
PLY-0006,4.3179,1.703,1,139.58
PLY-0007,4.7321,1.838,4,-125.83
PLY-0008,4.9914,2.21,5,31.61
PLY-0009,4.7904,2.147,4,-126.71
PLY-0010,5.1249,1.572,5,80.81
PLY-0011,5.208,1.983,0,104.99
PLY-0012,4.6169,2.113,0,8.24
PLY-0013,4.45,2.342,2,75.31
PLY-0014,4.5081,2.241,5,78.09
PLY-0015,4.9857,1.968,0,8.39
PLY-0016,5.0719,1.94,5,80.52
PLY-0017,5.2329,2.389,5,96.96
PLY-0018,4.5223,2.114,2,73.2
PLY-0019,4.8685,1.676,5,96.7
PLY-0020,5.0202,1.672,0,102.69
PLY-0021,4.3395,1.601,2,73.32
PLY-0022,4.4945,1.779,5,26.21
PLY-0023,5.0376,2.334,5,81.81
PLY-0024,4.8947,1.512,4,-127.2
PLY-0025,5.1732,2.009,5,79.6
PLY-0026,5.0412,1.643,3,-18.76
PLY-0027,5.0454,2.346,3,-17.75
PLY-0028,4.9785,1.893,0,9.34
PLY-0029,4.9456,1.676,3,-20.56
PLY-0030,4.7429,1.72,5,100.29
PLY-0031,5.1737,2.385,3,-18.09
PLY-0032,4.366,1.714,2,73.71
PLY-0033,4.5276,2.196,0,101.72
PLY-0034,4.3484,1.716,4,-126.79
PLY-0035,4.5906,1.854,3,-19.27
PLY-0036,4.7392,2.31,4,-123.58
PLY-0037,5.0274,2.008,5,26.67
PLY-0038,4.5602,2.006,2,76.68
PLY-0039,4.8021,2.255,3,-19.39
PLY-0040,4.3664,1.897,4,-130.26
PLY-0041,4.9408,2.329,5,-70.95
PLY-0042,4.7052,1.71,5,29.45
PLY-0043,4.8118,1.987,5,101.53
PLY-0044,4.5262,1.793,2,73.69
PLY-0045,4.8239,1.748,5,28.2
PLY-0046,4.9824,1.674,5,-71.87
PLY-0047,5.0462,1.656,5,27.51
PLY-0048,5.0453,1.538,0,106.53
PLY-0049,4.5323,2.133,5,95.28
PLY-0050,4.3255,1.555,1,140.18
PLY-0051,4.9887,1.731,0,102.75
PLY-0052,4.4309,1.691,2,72.38
PLY-0053,4.5684,2.327,0,6.22
PLY-0054,4.4397,2.35,4,-126.42
PLY-0055,4.7487,2.383,0,6.38
PLY-0056,5.1678,1.816,5,80.67
PLY-0057,5.152,1.604,5,100.63
PLY-0058,5.0103,1.58,3,-19.28
PLY-0059,5.2585,1.839,5,102.43
PLY-0060,4.9352,2.091,5,81.79
PLY-0061,4.3649,1.743,1,139.21
PLY-0062,4.9153,2.125,5,-71.52
PLY-0063,4.9539,2.373,3,-19.32
PLY-0064,4.8166,1.599,4,-123.26
PLY-0065,5.2625,1.755,5,-69.82
PLY-0066,4.5616,2.123,2,75.81
PLY-0067,5.2482,2.183,0,103.72
PLY-0068,4.5352,2.364,2,75.73
PLY-0069,5.3802,1.937,5,-71.07
PLY-0070,4.4837,1.586,2,72.92
PLY-0071,5.059,2.14,5,99.0
PLY-0072,5.2712,2.261,3,-18.42
PLY-0073,5.2341,1.931,5,100.46
PLY-0074,5.0308,2.083,5,79.86
PLY-0075,5.1865,1.762,5,99.37
PLY-0076,5.2866,2.205,3,-16.79
PLY-0077,4.5131,2.211,3,-19.8
PLY-0078,4.6546,1.918,5,97.14
PLY-0079,4.6396,2.38,2,78.58
PLY-0080,4.836,2.003,5,80.45
PLY-0081,5.1498,2.313,3,-18.38
PLY-0082,5.2678,1.592,5,98.51
PLY-0083,5.0724,2.151,5,101.62
PLY-0084,4.5575,1.743,4,-127.61
PLY-0085,4.7707,1.766,0,103.39
PLY-0086,4.6157,1.55,2,76.52
PLY-0087,5.2817,1.811,5,97.61
PLY-0088,5.1671,2.353,5,-69.42
PLY-0089,5.1062,2.115,5,81.78
PLY-0090,4.2997,2.164,4,-125.74
PLY-0091,4.6351,2.392,4,-128.1
PLY-0092,4.9971,2.214,0,7.76
PLY-0093,4.7206,2.271,0,104.5
PLY-0094,4.8177,1.566,4,-126.36
PLY-0095,4.6151,2.394,5,29.7
PLY-0096,4.9786,1.502,5,30.01
PLY-0097,5.0518,2.134,0,104.37
PLY-0098,5.4422,1.616,5,-70.73
PLY-0099,5.3057,2.277,5,-69.51
PLY-0100,4.8855,1.845,5,81.16
PLY-0101,5.0862,1.629,5,99.02
PLY-0102,4.7174,2.351,0,8.82
PLY-0103,4.1008,2.383,2,70.9
PLY-0104,4.7235,2.103,1,142.83
PLY-0105,5.0193,1.818,0,8.23
PLY-0106,4.8495,2.129,4,-125.51
PLY-0107,4.5311,2.242,2,77.48
PLY-0108,4.7324,1.869,1,145.53
PLY-0109,4.8581,2.222,0,102.91
PLY-0110,4.2416,2.219,1,140.18
PLY-0111,4.2404,2.379,1,135.33
PLY-0112,4.6724,1.538,1,143.69
PLY-0113,4.6892,1.827,4,-126.4
PLY-0114,5.1488,1.964,3,-18.45
PLY-0115,4.4967,1.536,4,-125.28
PLY-0116,5.0645,1.633,5,80.18
PLY-0117,5.1907,1.583,5,101.13
PLY-0118,5.1231,1.815,3,-17.31
PLY-0119,4.5855,1.993,4,-125.89
PLY-0120,4.7888,1.889,0,101.45
PLY-0121,5.0481,2.119,5,30.68
PLY-0122,4.7198,1.858,5,-73.01
PLY-0123,4.6797,1.885,2,74.16
PLY-0124,4.3272,1.969,0,5.3
PLY-0125,4.9848,2.041,5,-71.09
PLY-0126,4.7845,2.091,0,10.32
PLY-0127,5.0811,2.325,3,-20.9
PLY-0128,5.2664,1.833,3,-16.74
PLY-0129,4.715,2.373,3,-19.8
PLY-0130,5.0664,1.813,5,-69.35
PLY-0131,5.239,1.57,5,-70.84
PLY-0132,5.0219,1.699,5,82.06
PLY-0133,4.73,2.2,1,143.68
PLY-0134,5.0074,1.822,3,-20.61
PLY-0135,5.3213,2.276,5,-72.5
PLY-0136,4.3252,1.6,2,72.37
PLY-0137,5.2452,1.534,3,-18.4
PLY-0138,5.1332,2.01,3,-16.45
PLY-0139,4.783,1.842,5,79.04
PLY-0140,5.4764,1.965,5,-70.6
PLY-0141,4.9529,1.79,5,28.55
PLY-0142,4.9526,2.084,0,5.96
PLY-0143,4.8116,2.345,4,-128.79
PLY-0144,4.623,1.965,5,81.79
PLY-0145,4.0324,1.933,2,70.59
PLY-0146,5.1689,1.621,5,-71.05
PLY-0147,4.5641,1.513,1,141.83
PLY-0148,5.4351,2.252,5,-69.63
PLY-0149,4.7994,2.195,5,31.58
PLY-0150,4.3381,2.255,4,-127.29
PLY-0151,4.9018,2.27,0,8.71
PLY-0152,4.9972,2.304,5,-70.77
PLY-0153,4.8532,2.19,5,28.04
PLY-0154,5.1592,2.21,0,103.73
PLY-0155,5.06,1.891,5,78.48
PLY-0156,4.6576,1.624,5,26.72
PLY-0157,5.1174,1.527,0,104.87
PLY-0158,5.0957,1.591,5,97.83
PLY-0159,4.9285,1.66,5,98.3
PLY-0160,4.86,1.746,4,-125.17
PLY-0161,4.7237,1.53,5,28.29
PLY-0162,4.2793,1.998,2,70.96
PLY-0163,5.2526,2.101,5,100.5
PLY-0164,4.7679,2.246,5,30.32
PLY-0165,5.1249,1.893,5,-69.66
PLY-0166,4.7812,1.519,3,-20.42
PLY-0167,4.4128,2.334,4,-126.86
PLY-0168,4.1597,1.547,2,70.08
PLY-0169,4.9281,1.861,5,30.17
PLY-0170,5.0175,1.659,5,99.61
PLY-0171,4.6272,1.743,5,30.73
PLY-0172,4.9603,1.571,5,29.17
PLY-0173,4.4765,1.572,1,143.58
PLY-0174,5.0009,2.219,5,29.65
PLY-0175,4.7395,2.213,4,-126.62
PLY-0176,4.8408,1.713,0,8.49
PLY-0177,5.2019,2.187,0,106.86
PLY-0178,4.919,2.206,5,30.29
PLY-0179,4.7064,2.389,5,-68.56
PLY-0180,4.7513,2.005,1,146.8
