sample_id,batch_id,log10_mn,pdi,class_code,tg_degC
P-001,B040,4.417693,1.841,5,26.041318
P-002,B040,4.397966,2.342,5,28.679453
P-003,B040,4.589534,2.331,1,142.915248
P-004,B040,4.509096,2.085,0,6.287133
P-005,B040,5.357338,1.908,5,-69.408441
P-006,B040,4.3179,1.703,1,139.580127
P-007,B040,4.732059,1.838,4,-125.833328
P-008,B040,4.991408,2.21,5,31.613001
P-009,B040,4.79042,2.147,4,-126.714292
P-010,B040,5.124907,1.572,5,80.812321
P-011,B040,5.207993,1.983,0,104.991674
P-012,B040,4.616879,2.113,0,8.242498
P-013,B040,4.449998,2.342,2,75.312018
P-014,B040,4.508116,2.241,5,78.088252
P-015,B040,4.985736,1.968,0,8.393822
P-016,B040,5.071927,1.94,5,80.522053
P-017,B040,5.232935,2.389,5,96.96079
P-018,B040,4.52231,2.114,2,73.200051
P-019,B040,4.868537,1.676,5,96.695793
P-020,B040,5.020169,1.672,0,102.689482
P-021,B040,4.339549,1.601,2,73.323223
P-022,B040,4.494493,1.779,5,26.213022
P-023,B040,5.037582,2.334,5,81.807924
P-024,B040,4.894726,1.512,4,-127.203228
P-025,B040,5.173221,2.009,5,79.601871
P-026,B040,5.041177,1.643,3,-18.758515
P-027,B040,5.045389,2.346,3,-17.745339
P-028,B040,4.97846,1.893,0,9.341307
P-029,B040,4.94559,1.676,3,-20.561998
P-030,B040,4.742856,1.72,5,100.290998
P-031,B040,5.173652,2.385,3,-18.093284
P-032,B040,4.366008,1.714,2,73.710977
P-033,B040,4.527643,2.196,0,101.723429
P-034,B040,4.348424,1.716,4,-126.794229
P-035,B040,4.590568,1.854,3,-19.270058
P-036,B040,4.739173,2.31,4,-123.580753
P-037,B040,5.027364,2.008,5,26.667249
P-038,B040,4.560179,2.006,2,76.682805
P-039,B040,4.802078,2.255,3,-19.388662
P-040,B040,4.366438,1.897,4,-130.262321
P-041,B040,4.940797,2.329,5,-70.950346
