candidate_id,batch_id,tg_value,tg_unit,mn_g_mol,mw_g_mol,trusted_rank
P-180,B041,146.800992,degC,56408.2,113090.7,1
P-303,B042,146.152208,degC,37667.7,88931.1,2
P-361,B042,145.945857,degC,58328.4,109493.6,3
P-213,B042,145.798682,degC,42296.9,94651.7,4
P-331,B042,145.761706,degC,58947.6,112051.3,5
P-411,B042,145.686516,degC,50591.9,91743.1,6
P-108,B041,145.533479,degC,53999.0,100910.8,7
P-285,B042,145.145567,degC,39020.7,69671.3,8
P-319,B042,144.516141,degC,34553.3,68088.1,9
P-359,B042,144.498933,degC,33610.2,76867.2,10
P-408,B042,144.444336,degC,57312.1,112372.6,11
P-214,B042,144.292358,degC,49052.5,92894.9,12
P-184,B042,144.213433,degC,54820.6,83117.7,13
P-243,B042,143.88426,degC,30234.8,68262.8,14
P-112,B041,143.694691,degC,47037.2,72331.9,15
P-133,B041,143.680936,degC,53699.5,118133.9,16
P-173,B041,143.580756,degC,29959.8,47101.1,17
P-204,B042,416.72078,K,85384.6,167821.3,18
P-410,B042,143.560803,degC,38992.7,90669.7,19
P-405,B042,143.535191,degC,50787.4,78535.8,20
